
2025/03/08 (18:36:20) | ===> btop++ v.1.4.0
2025/03/08 (18:36:20) | WARNING: Failed to set locale en_RU.UTF-8 continuing anyway.

2025/03/08 (18:37:03) | ===> btop++ v.1.4.0
2025/03/08 (18:37:03) | WARNING: Failed to set locale en_RU.UTF-8 continuing anyway.

2025/03/08 (18:39:11) | ===> btop++ v.1.4.0
2025/03/08 (18:39:11) | WARNING: Failed to set locale en_RU.UTF-8 continuing anyway.

2025/03/08 (18:39:16) | ===> btop++ v.1.4.0
2025/03/08 (18:39:16) | WARNING: Failed to set locale en_RU.UTF-8 continuing anyway.

2025/03/08 (19:11:30) | ===> btop++ v.1.4.0
2025/03/08 (19:11:30) | WARNING: Failed to set locale en_RU.UTF-8 continuing anyway.
